species_name,value_usd,share_pct
"common bluetongue, eastern blue-tongued lizard, eastern bluetongue, northern bluetongue",58037.6547,0.00018954068976616438
"carpet python, diamond python, pitón diamantina, python tapis",57967.2,0.00018931059720807782
"black-headed python, woma, pitón de cabeza negra, python à tête noire d'australie, woma",57967.2,0.00018931059720807782
"malayan sun bear, sun bear, oso de los cocoteros, oso de sol, oso malayo, ours des cocotiers, ours malais",57852.78,0.0001889369217755479
"bigeye thresher, zorro ojón, renard à gros yeux",57850.0,0.00018892784278846144
"saker, saker falcon, halcón sacre, faucon sacre",56775.2,0.00018541773655805454
"common hill myna, hill myna, miná de la india, miná religioso, mainate religieux, merle des indes",56338.0082,0.00018398994565643303
"indian grey mongoose, mangosta gris de la india, mangouste d'edwards, mangouste grise de l'inde",54538.0,0.00017811143802933638
"cheetah, hunting leopard, chita, guepardo, guépard",53286.729,0.00017402500880247797
cumala,52041.97,0.00016995984661299614
"armadillo girdled lizard, armadillo spiny-tailed lizard, cordyle d'armadillo, lézard à queue épineuse d'armadillo",51941.0,0.0001696300964956867
"chimpanzee, chimpancé, chimpanzé",50627.7,0.00016534109155300587
"stony corals, corales pétreos, coraux durs",48225.3,0.00015749527911540864
skinks,47278.5914,0.00015440349668589636
"burmese python, python molure à deux bandes, dunkler tigerpython",46412.085999999996,0.00015157364368699312
taiwan cypress,44656.8,0.00014584119083553614
"clouded leopard, pantera del himalaya, pantera longibanda, pantera nebulosa, panthère longibande, panthère nébuleuse",43143.278000000006,0.00014089829634162296
"grauer's gorilla, eastern lowland gorilla",40000.0,0.0001306329077189016
cattle / bison / buffalo / antelopes / sheep / goats,39536.292,0.0001291185196095887
"lesser panda, red cat-bear, red panda, panda chico, panda rojo, pequeño panda, panda éclatant, petit panda",38983.2,0.00012731221920468712
mangium,38230.890999999996,0.00012485531140035962
"santol, cotton fruit",37349.2,0.00012197586492436998
falcata,37349.2,0.00012197586492436998
"crevice tortoise, pancake tortoise, softshell tortoise, tornier's tortoise, tortuga de cuña, tortue à carapace souple, tortue de tornier",37097.01,0.00012115225709942925
"javan rhinoceros, lesser one-horned rhinoceros, rinoceronte de java, rhinocéros de la sonde",36586.1,0.00011948371562736265
"polar bear, oso polar, ours blanc, ours polaire",36278.6,0.0001184794751492736
"goffin's cockatoo, tanimbar cockatoo, tanimbar corella, cacatúa de goffin, cacatoès de goffin",35026.0,0.00011438870564405618
"chinese hwamei, hwamei, melodious laughingthrush, garrulaxe hoamy",34116.6,0.00011141876648706696
thomson's gazelle,33909.685,0.00011074301878455054
japanese pond turtle,32473.2,0.00010605171347343588
"holy wood, guayacan, palo santo",32290.35,0.00010545455779402586
"aucklandia, costus root, kuth, saussurea root",30817.6,0.00010064481742295056
gouldian finch,30000.0,9.797468078917621e-05
zebra pleco,30000.0,9.797468078917621e-05
cedar,29470.7,9.624608083778583e-05
"african spurred tortoise, grooved tortoise, tortuga con púas, tortue sillonnée",28751.6696,9.389785504052871e-05
"muntjac, barking deer",28711.4,9.376634166701179e-05
"faux gayac, borneo teak, moluccan ironwood, kwila, ipil",28081.889,9.171047035773594e-05
"falcons, halcones, faucons",28040.3,9.157464805775792e-05
"tiger catfish, cachara",27540.0,8.994075696446375e-05
redtail catfish,27540.0,8.994075696446375e-05
"russian wild horse, tarpan",27175.7,8.875101775741386e-05
sable antelope,26359.56,8.608564922477125e-05
"aldabra giant tortoise, tortuga gigante de aldabra, tortue géante, tortue géante d'aldabra",25786.030000000002,8.421260193567073e-05
"bay lynx, bobcat, gato montés, lince rojo, chat sauvage, lynx roux",25600.0,8.360506094009703e-05
malayan tiger,25573.7,8.351916980327185e-05
crows / ravens / rooks / magpies / jackdaws / jays / treepies / choughs / nutcrackers,24935.0,8.143328884927029e-05
greater kudu,24000.01,7.837977728956789e-05
"senegal parrot, lorito senegalés, papagayo senegalés, perroquet à tête grise, perroquet youyou, youyou",22646.27,7.395870247718325e-05
